"ordinal","reviewClass","lane","sourceBucket","id","team","slug","reason","reportAssetTexts","exactDuplicateSinglePicks","duplicateBundleCandidates","warnings","errors"
"11","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2008-04-26-0136","seattle-seahawks","2008-1st-round-pick-28th-overall-lawrence-jackso-dallas-cowboys-2008","bundle contains standalone pick text, but not a strict exact duplicate bundle","2008 1st round pick (28th overall, Lawrence Jackson) || 2008 5th round pick (163rd overall, Owen Schmitt) || 2008 7th round pick (235th overall, Brandon Coutu) || 2008 1st round pick (28th overall, Lawrence Jackson), 2008 5th round pick (163rd overall, Owen Schmitt) and 2008 7th round pick (235th overall, Brandon Coutu)","","","",""
"12","manual","BR_manual_no_strict_duplicate_action_detected","B3_duplicate_inside_multi_pick_bundle_needs_split","WAS-2008-0395","washington-commanders","an-undisclosed-2008-draft-pick-2008-2nd-round-pick-34th-overall-devin-thomas-and-2008-4th","no exact duplicate standalone pick or exact duplicate bundle action detected","an undisclosed 2008 draft pick, 2008 2nd round pick (34th overall, Devin Thomas) and 2008 4th round pick (103rd overall subsequently traded, William Hayes) || an undisclosed 2008 draft pick, 2008 2nd round pick (34th overall, Devin Thomas) || 2008 4th round pick (103rd overall subsequently traded, William Hayes)","","","",""
"13","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","WAS-2008-0395","atlanta-falcons","an-undisclosed-2008-draft-pick-2008-2nd-round-pick-34th-overall-devin-thomas-and-2008-4th","bundle contains standalone pick text, but not a strict exact duplicate bundle","2008 1st round pick (21st overall, Sam Baker), 2008 3rd round pick (84th overall, Harry Douglas) and 2008 5th round pick (154th overall, Kroy Biermann) || 2008 1st round pick (21st overall, Sam Baker) || 2008 3rd round pick (84th overall, Harry Douglas) || 2008 5th round pick (154th overall, Kroy Biermann)","","","",""
"14","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2009-04-26-0142","philadelphia-eagles","2009-3rd-round-pick-91st-overall-deon-butler-philadelphia-eagles-2009","bundle contains standalone pick text, but not a strict exact duplicate bundle","2009 5th round pick (137th overall subsequently traded, Jason Phillips) || 2009 7th round pick (213th overall, Paul Fanaika) || 2010 3rd round pick (70th overall subsequently traded, Ed Dickson) || 2009 5th round pick (137th overall subsequently traded, Jason Phillips), 2009 7th round pick (213th overall, Paul Fanaika) and 2010 3rd round pick (70th overall subsequently traded, Ed Dickson)","","","",""
"15","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","ATL-2011-0259","cleveland-browns","2011-1st-round-pick-6th-overall-cleveland-browns-2011","bundle contains standalone pick text, but not a strict exact duplicate bundle","2011 1st round pick (26th overall subsequently traded, Jonathan Baldwin) || 2011 2nd round pick (59th overall, Greg Little) || 2011 4th round pick (118th overall subsequently traded, Jalil Brown) || 2011 4th round pick (124th overall, Owen Marecic) || 2012 1st round pick (22nd overall, Brandon Weeden) || 2011 1st round pick (26th overall subsequently traded, Jonathan Baldwin), 2011 2nd round pick (59th overall, Greg Little), 2011 4th round pick (118th overall subsequently traded, Jalil Brown), 2011 4th round pick (124th overall, Owen Marecic) and 2012 1st round pick (22nd overall, Brandon Weeden)","","","",""
"16","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2011-04-29-0156","seattle-seahawks","2011-3rd-round-pick-75th-overall-john-moffitt-detroit-lions-2011","bundle contains standalone pick text, but not a strict exact duplicate bundle","2011 3rd round pick (75th overall, John Moffitt) || 2011 4th round pick (107th overall, Kris Durham) || 2011 5th round pick (154th overall, Richard Sherman) || 2011 7th round pick (205th overall, Pep Levingston) || 2011 3rd round pick (75th overall, John Moffitt), 2011 4th round pick (107th overall, Kris Durham), 2011 5th round pick (154th overall, Richard Sherman) and 2011 7th round pick (205th overall, Pep Levingston)","","","",""
"17","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2011-04-29-0156","detroit-lions","2011-3rd-round-pick-75th-overall-john-moffitt-detroit-lions-2011","bundle contains standalone pick text, but not a strict exact duplicate bundle","2011 2nd round pick (57th overall, Mikel Leshoure) || 2011 5th round pick (157th overall, Doug Hogue) || 2011 7th round pick (209th overall, Johnny Culbreath) || 2011 2nd round pick (57th overall, Mikel Leshoure), 2011 5th round pick (157th overall, Doug Hogue) and 2011 7th round pick (209th overall, Johnny Culbreath)","","","",""
"18","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2012-04-26-0159","seattle-seahawks","2012-1st-round-pick-15th-overall-bruce-irvin-2-philadelphia-eagles-2012","bundle contains standalone pick text, but not a strict exact duplicate bundle","2012 1st round pick (15th overall, Bruce Irvin) || 2012 4th round pick (114th overall, Jaye Howard) || 2012 6th round pick (172nd overall, Jeremy Lane) || 2012 1st round pick (15th overall, Bruce Irvin), 2012 4th round pick (114th overall, Jaye Howard) and 2012 6th round pick (172nd overall, Jeremy Lane)","","","",""
"19","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2012-04-27-0160","seattle-seahawks","2012-2nd-round-pick-47th-overall-bobby-wagner-new-york-jets-2012","bundle contains standalone pick text, but not a strict exact duplicate bundle","2012 2nd round pick (47th overall, Bobby Wagner) || 2012 5th round pick (154th overall, Korey Toomer) || 2012 7th round pick (232nd overall, Greg Scruggs) || 2012 2nd round pick (47th overall, Bobby Wagner), 2012 5th round pick (154th overall, Korey Toomer) and 2012 7th round pick (232nd overall, Greg Scruggs)","","","",""
"20","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","MIN-2013-0235","minnesota-vikings","2013-1st-round-pick-25th-overall-xavier-rhodes-2013-7th-round-pick-214th-overall","bundle contains standalone pick text, but not a strict exact duplicate bundle","2013 1st round pick (25th overall, Xavier Rhodes), 2013 7th round pick (214th overall, Travis Bond) and 2014 3rd round pick (96th overall, Jerick McKinnon) || 2013 1st round pick (25th overall, Xavier Rhodes) || 2013 7th round pick (214th overall, Travis Bond) || 2014 3rd round pick (96th overall, Jerick McKinnon)","","","",""
"21","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","ATL-2017-0271","atlanta-falcons","2017-3rd-round-pick-75th-overall-buffalo-bills-2017","bundle contains standalone pick text, but not a strict exact duplicate bundle","2017 3rd round pick (75th overall, Duke Riley) || 2017 5th round pick (149th overall, Damontae Kazee) || 2017 5th round pick (156th overall, Brian Hill) || 2017 3rd round pick (75th overall, Duke Riley), 2017 5th round pick (149th overall, Damontae Kazee) and 2017 5th round pick (156th overall, Brian Hill)","","","",""
"22","manual","BR_manual_no_strict_duplicate_action_detected","B3_duplicate_inside_multi_pick_bundle_needs_split","BUF-2018-0304","tampa-bay-buccaneers","2018-1st-round-pick-7th-overall-josh-allen-tampa-bay-buccaneers-2018","no exact duplicate standalone pick or exact duplicate bundle action detected","2018 1st round pick (12th overall, Vita Vea), 2018 2nd round pick (53rd overall, M.J. Stewart) and 2018 2nd round pick (56th overall subsequently traded, Duke Dawson) || 2018 1st round pick (#12-Vita Vea) || 2018 2nd round pick (#53-Ronald Jones)","","","",""
"23","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2018-04-26-0195","seattle-seahawks","2018-1st-round-pick-27th-overall-rashaad-penny-green-bay-packers-2018","bundle contains standalone pick text, but not a strict exact duplicate bundle","2018 1st round pick (27th overall, Rashaad Penny) || 2018 3rd round pick (76th overall subsequently traded, Mason Rudolph) || 2018 6th round pick (186th overall, Jacob Martin) || 2018 1st round pick (27th overall, Rashaad Penny), 2018 3rd round pick (76th overall subsequently traded, Mason Rudolph) and 2018 6th round pick (186th overall, Jacob Martin)","","","",""
"24","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2020-07-25-0217","new-york-jets","jamal-adams-new-york-jets-2020","bundle contains standalone pick text, but not a strict exact duplicate bundle","Bradley McDougald, 2021 1st round pick (23rd overall subsequently traded, Christian Darrisaw), 2021 3rd round pick (86th overall subsequently traded, Wyatt Davis) || 2022 1st round pick (10th overall, Garrett Wilson) || Bradley McDougald, 2021 1st round pick (23rd overall subsequently traded, Christian Darrisaw), 2021 3rd round pick (86th overall subsequently traded, Wyatt Davis) and 2022 1st round pick (10th overall, Garrett Wilson)","","","",""
"25","manual","BR_manual_no_strict_duplicate_action_detected","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2022-03-08-0225","seattle-seahawks","drew-lock-shelby-harris-noah-fant-2022-1st-roun-denver-broncos-2022","no exact duplicate standalone pick or exact duplicate bundle action detected","Drew Lock, Shelby Harris, Noah Fant, 2022 1st round pick (9th overall, Charles Cross), 2022 2nd round pick (40th overall, Boye Mafe), 2023 1st round pick (5th overall, Devon Witherspoon), 2023 2nd round pick (37th overall, Derick Hall) || 2022 5th round pick (145th overall subsequently traded, Darian Kinnard) || Drew Lock, Shelby Harris, Noah Fant, 2022 1st round pick (9th overall, Charles Cross), 2022 2nd round pick (40th overall, Boye Mafe), 2023 1st round pick (5th overall, Devon Witherspoon), 2023 2nd round pick (37th overall, Derick Hall) and 2022 5th round pick (145th overall subsequently traded, Darian Kinnard)","","","",""
"26","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2024-03-14-0230","seattle-seahawks","sam-howell-2024-4th-round-pick-102nd-overall-sub-washington-commanders-2024","bundle contains standalone pick text, but not a strict exact duplicate bundle","Sam Howell, 2024 4th round pick (102nd overall subsequently traded, Troy Franklin) || 2024 6th round pick (179th overall, Sataoa Laumea) || Sam Howell, 2024 4th round pick (102nd overall subsequently traded, Troy Franklin) and 2024 6th round pick (179th overall, Sataoa Laumea)","","","",""
"27","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","SEA-2024-04-27-0231","seattle-seahawks","2024-4th-round-pick-121st-overall-aj-barner-20-denver-broncos-2024","bundle contains standalone pick text, but not a strict exact duplicate bundle","2024 4th round pick (121st overall, AJ Barner) || 2024 5th round pick (136th overall, Nehemiah Pritchett) || 2024 6th round pick (207th overall, Michael Jerrell) || 2024 4th round pick (121st overall, AJ Barner), 2024 5th round pick (136th overall, Nehemiah Pritchett) and 2024 6th round pick (207th overall, Michael Jerrell)","","","",""
"28","manual","BR_manual_no_strict_duplicate_action_detected","B3_duplicate_inside_multi_pick_bundle_needs_split","JAX-2025-0110","houston-texans","2025-3rd-round-pick-89th-overall-houston-texans-2025","no exact duplicate standalone pick or exact duplicate bundle action detected","2025 3rd round pick (102nd overall subsequently traded, Tai Felton), 2025 5th round pick (142nd overall subsequently traded, Rylie Mills) || 2025 3rd round pick (102nd overall subsequently traded, Tai Felton)","","","",""
"29","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","PIT-2025-0390","pittsburgh-steelers","2026-3rd-round-pick-76th-overall-drew-allar-dallas-cowboys-2025","bundle contains standalone pick text, but not a strict exact duplicate bundle","2026 3rd round pick (76th overall, Drew Allar) || 2027 5th round pick || 2026 3rd round pick (76th overall, Drew Allar) and a 2027 5th round pick","","","",""
"30","manual","BR_manual_bundle_contains_standalone_pick_but_bundle_not_exact_join","B3_duplicate_inside_multi_pick_bundle_needs_split","ATL-2026-0304","atlanta-falcons","sydney-brown-philadelphia-eagles-2026","bundle contains standalone pick text, but not a strict exact duplicate bundle","Sydney Brown, 2026 4th round pick (122nd overall subsequently traded, Mike Washington) || 2026 6th round pick (215th overall, Harold Perkins) || Sydney Brown, 2026 4th round pick (122nd overall subsequently traded, Mike Washington) and 2026 6th round pick (215th overall, Harold Perkins)","","","",""
"31","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","SF-1976-0130","san-francisco-49ers","bruce-elia-tampa-bay-buccaneers-1976","no exact duplicate standalone pick or exact duplicate bundle action detected","Bruce Elia || Willie McGee || 1976 second round pick (#57-Eddie Lewis (a)) || Bruce Elia Willie McGee 1976 second round pick (#57-Eddie Lewis (a))","","","",""
"32","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","MIA-1977-0083","miami-dolphins","mike-current-buccaneers-1977","no exact duplicate standalone pick or exact duplicate bundle action detected","Mike Current || 1978 fifth round pick (possibly #111-Ted Burgmeier) || Steve Young || Mike Current 1978 fifth round pick (possibly #111-Ted Burgmeier)","","","",""
"33","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-1980-0065","tampa-bay-buccaneers","danny-buggs-1980-fourth-round-pick-probably-102-larry-flowers-washington-comm","no exact duplicate standalone pick or exact duplicate bundle action detected","Danny Buggs 1980 fourth round pick (probably #102-Larry Flowers) || Danny Buggs || 1980 fourth round pick (probably #102-Larry Flowers)","","","",""
"34","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","RAI-1983-0185","tampa-bay-buccaneers","charley-hannah-tampa-bay-buccaneers-1983","no exact duplicate standalone pick or exact duplicate bundle action detected","Dave Browning || 1984 fourth round pick (#112-Ron Heller (Ramon)) || Dave Browning 1984 fourth round pick (#112-Ron Heller (Ramon))","","","",""
"35","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","KC-1988-0164","tampa-bay-buccaneers","steve-deberg-tampa-bay-buccaneers-1988","no exact duplicate standalone pick or exact duplicate bundle action detected","Mark Robinson (a) || 1988 fourth round pick (#86-John Bruhin) || 1988 eighth round pick (#198-Anthony Simpson) || Mark Robinson (a) 1988 fourth round pick (#86-John Bruhin)","","","",""
"36","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","SEA-1988-05-04-0065","tampa-bay-buccaneers","ron-heller-ramon-tampa-bay-buccaneers-1988","no exact duplicate standalone pick or exact duplicate bundle action detected","Randy Edwards || 1989 sixth round pick (#154-Derrick Little) || Randy Edwards 1989 sixth round pick (#154-Derrick Little)","","","",""
"37","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-1992-0148","tampa-bay-buccaneers","garry-lewis-1993-eighth-round-pick-224-daron-alcorn-pick-added-at-later-date","no exact duplicate standalone pick or exact duplicate bundle action detected","Garry Lewis 1993 eighth round pick (#224-Daron Alcorn) || Garry Lewis || 1993 eighth round pick (#224-Daron Alcorn) (pick added at later date when 1993 draft was reduced to eight rounds)","","","",""
"38","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2004-0183","dallas-cowboys","2004-7th-round-pick-206th-overall-dallas-cowboys-2004","no exact duplicate standalone pick or exact duplicate bundle action detected","Darian Barnes || 2004 7th round pick (216th overall || Patrick Crayton) || Darian Barnes and 2004 7th round pick (216th overall, Patrick Crayton)","","","",""
"39","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","KC-2010-0228","tampa-bay-buccaneers","2011-5th-round-pick-135th-overall-tampa-bay-buccaneers-2010","no exact duplicate standalone pick or exact duplicate bundle action detected","Alex Magee and 2011 6th round pick (187th overall, Allen Bradford) || Alex Magee || 2011 6th round pick (187th overall || Allen Bradford)","","","",""
"40","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2012-0221","new-england-patriots","2013-4th-round-pick-126th-overall-new-england-patriots-2012","no exact duplicate standalone pick or exact duplicate bundle action detected","Aqib Talib || 2013 7th round pick (226th overall || Michael Buchanan) || Aqib Talib and 2013 7th round pick (226th overall, Michael Buchanan)","","","",""
"41","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2013-0222","philadelphia-eagles","2013-6th-round-pick-196th-overall-subsequently-traded-philadelphia-eagles-2013","no exact duplicate standalone pick or exact duplicate bundle action detected","Arrelious Benn || 2013 7th round pick (218th overall || Jordan Poyer) || Arrelious Benn and 2013 7th round pick (218th overall, Jordan Poyer)","","","",""
"42","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2013-0225","tampa-bay-buccaneers","jeff-demps-new-england-patriots-2013","no exact duplicate standalone pick or exact duplicate bundle action detected","Jeff Demps || 2013 7th round pick (229th overall subsequently traded || Everett D; additional || Jeff Demps and 2013 7th round pick (229th overall subsequently traded, Everett Dawkins)","","","",""
"43","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2014-0231","new-england-patriots","logan-mankins-new-england-patriots-2014","no exact duplicate standalone pick or exact duplicate bundle action detected","Tim Wright || 2015 4th round pick (101st overall || Trey Flowers) || Tim Wright and 2015 4th round pick (101st overall, Trey Flowers)","","","",""
"44","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","WAS-2015-0425","washington-commanders","dashon-goldson-and-2016-7th-round-pick-232nd-overall-steven-daniels-tampa-bay-buccaneers-2","no exact duplicate standalone pick or exact duplicate bundle action detected","Dashon Goldson and 2016 7th round pick (232nd overall, Steven Daniels) || Dashon Goldson || 2016 7th round pick (232nd overall || Steven Daniels)","","","",""
"45","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","PIT-2019-0364","tampa-bay-buccaneers","2021-6th-round-pick-216th-overall-quincy-roche-tampa-bay-buccaneers-2019","no exact duplicate standalone pick or exact duplicate bundle action detected","Jerald Hawkins and 2021 7th round pick (251st overall, Chris Wilcox) || Jerald Hawkins || 2021 7th round pick (251st overall || Chris Wilcox)","","","",""
"46","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2020-0247","tampa-bay-buccaneers","rob-gronkowski-new-england-patriots-2020","no exact duplicate standalone pick or exact duplicate bundle action detected","Rob Gronkowski || 2020 7th round pick (241st overall || Chapelle Russell) || Rob Gronkowski and 2020 7th round pick (241st overall, Chapelle Russell)","","","",""
"47","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","TB-2022-0256","indianapolis-colts","2023-6th-round-pick-181st-overall-indianapolis-colts-2022","no exact duplicate standalone pick or exact duplicate bundle action detected","Grant Stuard || 2023 7th round pick (236th overall || Jake Witt) || Grant Stuard and 2023 7th round pick (236th overall, Jake Witt)","","","",""
"48","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","ATL-2023-0296","atlanta-falcons","kentavius-street-philadelphia-eagles-2023","no exact duplicate standalone pick or exact duplicate bundle action detected","Kentavius Street || a conditional 2025 pick (7th round || not conveyed) || Kentavius Street and a conditional 2025 pick (7th round","","","",""
"49","manual","BR_manual_no_strict_duplicate_action_detected","B4_duplicate_inside_player_plus_pick_bundle_needs_split","PIT-2025-0390","dallas-cowboys","2026-3rd-round-pick-76th-overall-drew-allar-dallas-cowboys-2025","no exact duplicate standalone pick or exact duplicate bundle action detected","George Pickens || 2027 6th round pick || George Pickens and a 2027 6th round pick","","","",""
"50","manual","BR_manual_no_strict_duplicate_action_detected","B5_duplicate_inside_other_bundle_review","WAS-1966-0106","dallas-cowboys","undisclosed-consideration-dallas-cowboys-1966","no exact duplicate standalone pick or exact duplicate bundle action detected","Jim Steffen || 1967 fifth round pick (#119-Willie Parker (a)) || future considerations (Jim Steffen, 1967 fifth round pick (#119-Willie Parker (a)) on 1966-08-30)","","","",""
"51","manual","BR_manual_no_strict_duplicate_action_detected","B5_duplicate_inside_other_bundle_review","LAC-1975-0128","los-angeles-chargers","unspecified-consideration-chicago-bears-1975-lac-1975-0128","no exact duplicate standalone pick or exact duplicate bundle action detected","1977 seventh round pick (or sixth round pick if not owed to Eagles in Mark Nordquist trade) unspecified pick || 1977 seventh round pick (or sixth round pick if not owed to Eagles in Mark Nordquist trade) (?-?)","","","",""
"52","manual","BR_manual_no_strict_duplicate_action_detected","B5_duplicate_inside_other_bundle_review","TB-1976-0003","indianapolis-colts","mike-washington-indianapolis-colts-1976","no exact duplicate standalone pick or exact duplicate bundle action detected","1976 third round pick (#90-Ron Lee) cash || 1976 third round pick (#90-Ron Lee) || cash","","","",""
"53","manual","BR_manual_no_strict_duplicate_action_detected","B5_duplicate_inside_other_bundle_review","MIA-1980-0098","miami-dolphins","jimmy-dubose-buccaneers-1980","no exact duplicate standalone pick or exact duplicate bundle action detected","Jimmy DuBose || 1982 second round pick (#44-Oliver Luck) || Jimmy DuBose 1982 second round pick (#44-Oliver Luck)","","","",""
"54","manual","BR_manual_no_strict_duplicate_action_detected","B5_duplicate_inside_other_bundle_review","MIN-1982-0141","minnesota-vikings","1983-sixth-round-pick-undisclosed-pick-los-angeles-san-diego-chargers-1982","no exact duplicate standalone pick or exact duplicate bundle action detected","1983 sixth round pick / undisclosed pick (?-?) || 1983 sixth round pick / undisclosed pick unspecified pick","","","",""
