index,slug,id,date,verdict,teams,matchedTerms,title,summary
4783,2020-1st-round-pick-20th-overall-los-angeles-st-louis-rams-2019,JAX-2019-0074,,Los Angeles Rams Win,"[""jacksonville-jaguars"",""los-angeles-rams""]",jalen ramsey | ramsey | k'lavon chaisson | travis etienne | robert rochell | jalen,(missing),"The Rams' trade for Jalen Ramsey became a classic win-now move that actually worked. Los Angeles paid two first-round picks and a fourth-round pick, but Ramsey became an elite defensive cornerstone and helped the Rams win a Super Bowl. Jacksonville received real value, including Travis Etienne, but the title payoff gives Los Angeles the edge. It also belongs in the GSC priority group because Ramsey's trade remains a major modern all-in roster-building case."
4841,jamal-adams-new-york-jets-2020,SEA-2020-07-25-0217,,New York Jets Win,"[""new-york-jets"",""seattle-seahawks""]",ramsey,(missing),"The Jamal Adams trade became one of the most lopsided modern safety deals. Seattle paid two first-round picks, a third-round pick, and Bradley McDougald for Adams and a fourth-round pick. Adams flashed early, but injuries and positional value crushed the return. The Jets won by turning one safety into premium roster-building power. It is a GSC priority page because the trade remains one of the easiest modern blockbuster losses for fans to search and understand."
4869,carson-wentz-philadelphia-eagles-2021,IND-2021-0369,,Philadelphia Eagles Win,"[""indianapolis-colts"",""philadelphia-eagles""]",jalen,(missing),"The Carson Wentz trade became a costly one-year quarterback swing for Indianapolis. The Colts sent a third-round pick and a conditional first-round pick to Philadelphia, hoping Wentz could stabilize a playoff-ready roster. Instead, the season ended with a collapse, Wentz was gone after one year, and the Eagles escaped a bad contract while gaining premium draft value. It remains a priority indexing page because the Wentz-Colts experiment is still a clean modern quarterback-trade search."
4886,orlando-brown-jr-baltimore-ravens-2021,KC-2021-0266,,Kansas City Chiefs Win,"[""baltimore-ravens"",""kansas-city-chiefs""]",jalen,(missing),"Kansas City acquired Orlando Brown Jr., a second-round pick that became Nick Bolton, and later pick value from Baltimore for a package built around the No. 31 pick. Brown gave the Chiefs immediate left tackle help, started on a Super Bowl champion, and Bolton became a major defensive piece. Baltimore got useful value with Odafe Oweh, but Kansas City landed the stronger championship-era return."
4912,2021-4th-round-pick-130th-overall-robert-rochell-2021-5th-round-pick-170th-overa,RAM-2021-0515,,Even Trade,"[""jacksonville-jaguars"",""los-angeles-rams""]",robert rochell | jalen camp | jalen,(missing),"Los Angeles Rams acquired 2021 4th round pick (130th overall, Robert Rochell), 2021 5th round pick (170th overall subsequently traded, Garret Wallow), 2021 7th round pick (249th overall, Ben Skowronek) from Jacksonville Jaguars for 2021 4th round pick (121st overall, Jordan Smith), 2021 6th round pick (209th overall, Jalen Camp). The available record does not show enough separation to call a clear long-term winner."
4917,2022-6th-round-pick-191st-overall-jalen-nailor-kansas-city-chiefs-2021,MIN-2021-0282,,Vikings Win,"[""kansas-city-chiefs"",""minnesota-vikings""]",jalen,(missing),"Minnesota Vikings acquired 2022 6th round pick (191st overall, Jalen Nailor) from Kansas City Chiefs for Mike Hughes and 2022 7th round pick (233rd overall subsequently traded, Dareke Young). The overall result favors Vikings over Minnesota Vikings."
4975,2023-3rd-round-pick-77th-overall-subsequently-traded-patriots-2022,MIA-2022-0312,,Miami Dolphins Win,"[""miami-dolphins"",""new-england-patriots""]",byron young,(missing),"Miami Dolphins acquired 2023 3rd round pick (77th overall subsequently traded, Byron Young) from New England Patriots for DeVante Parker and 2022 5th round pick (158th overall subsequently traded, Tyreke Smith). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict."
5033,jalen-reagor-philadelphia-eagles-2022,MIN-2022-08-31-0301,,Even Trade,"[""minnesota-vikings"",""philadelphia-eagles""]",jalen,(missing),"Minnesota received Jalen Reagor and sent 2023 7th round pick (219th overall subsequently traded, Antoine Green) and 2024 5th round pick (146th overall subsequently traded, Jarvis Brownlee)"
5057,panthers-chicago-bears-trade-2023-0093,CAR-2023-0093,,Chicago Bears Win,"[""carolina-panthers"",""chicago-bears""]",jalen,(missing),"Carolina moved up to No. 1 for Bryce Young, while Chicago turned the pick into D.J. Moore, multiple premium selections, and the 2024 No. 1 pick that became Caleb Williams. The value gap makes this a clear Chicago Bears win."
5058,jalen-ramsey-rams-2023,MIA-2023-0315,,Miami Dolphins Win,"[""los-angeles-rams"",""miami-dolphins""]",jalen ramsey | ramsey | hunter long | byron young | jalen,(missing),"Miami Dolphins acquired Jalen Ramsey from Los Angeles Rams for Hunter Long and 2023 3rd round pick (77th overall, Byron Young). Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict."
5059,jonnu-smith-new-england-patriots-2023,ATL-2023-0292,,New England Patriots Win,"[""atlanta-falcons"",""new-england-patriots""]",jonnu smith,(missing),"Atlanta Falcons acquired Jonnu Smith from New England Patriots for 2023 7th round pick (245th overall, Isaiah Bolden). The overall result favors New England Patriots over Atlanta Falcons."
5074,eagles-2023-04-27-chicago-bears-0443,PHI-2023-0443,,Chicago Bears Win,"[""chicago-bears"",""philadelphia-eagles""]",jalen,(missing),"Philadelphia Eagles acquired 2023 1st round pick (9th overall, Jalen Carter) from Chicago Bears for 2023 1st round pick (10th overall, Darnell Wright) and 2024 4th round pick (122nd overall, Tory Taylor). The overall result favors Chicago Bears over Philadelphia Eagles."
5154,2024-3rd-round-pick-92nd-overall-detroit-lions-2024,TB-2024-0261,,Detroit Lions Win,"[""detroit-lions"",""tampa-bay-buccaneers""]",jalen,(missing),"Tampa Bay Buccaneers acquired 2024 3rd round pick (92nd overall, Jalen McMillan) from Detroit Lions for Carlton Davis; 2024 6th round pick (201st overall subsequently traded, Micah Abraham); and 2025 6th round pick (196th overall, Ahmed Hassanein). The overall result favors Detroit Lions over Tampa Bay Buccaneers."
5187,2025-3rd-round-pick-92nd-overall-subsequently-traded-jalen-milroe-detroit-lions-2024,NYJ-2024-0307,,New York Jets Win,"[""new-york-jets"",""detroit-lions""]",jalen,(missing),"New York Jets acquired 2025 3rd round pick (92nd overall subsequently traded, Jalen Milroe) from Detroit Lions for 2024 4th round pick (126th overall, Giovanni Manu). New York Jets received the stronger recorded football value, matching the New York Jets Win verdict."
5205,trevis-gipson-jacksonville-jaguars-2024,SEA-2024-08-26-0235,,Seattle Seahawks Win,"[""jacksonville-jaguars"",""seattle-seahawks""]",jalen,(missing),"Seattle Seahawks acquired Trevis Gipson from Jacksonville Jaguars for 2025 6th round pick (194th overall, Jalen McLeod). Seattle Seahawks received the stronger recorded football value, matching the Seattle Seahawks Win verdict."
5215,2025-3rd-round-pick-92nd-overall-subsequently-traded-new-york-jets-2024,RAI-2024-0424,,New York Jets Win,"[""las-vegas-raiders"",""new-york-jets""]",jalen,(missing),"Las Vegas Raiders acquired 2025 3rd round pick (92nd overall subsequently traded, Jalen Milroe) (would have converted to 2nd round if Adams is named to All-Pro team OR if on roster for AFC Championship or Super Bowl) from New York Jets for Davante Adams. The overall result favors New York Jets over Las Vegas Raiders."
5235,2025-3rd-round-pick-92nd-overall-jalen-milroe-las-vegas-raiders-2025,SEA-2025-03-07-0238,,Las Vegas Raiders Win,"[""las-vegas-raiders"",""seattle-seahawks""]",jalen,(missing),"Seattle Seahawks acquired 2025 3rd round pick (92nd overall, Jalen Milroe) from Las Vegas Raiders for Geno Smith. The overall result favors Las Vegas Raiders over Seattle Seahawks."
5256,2025-3rd-round-pick-102nd-overall-subsequently-traded-detroit-lions-2025,JAX-2025-0109,,Jacksonville Jaguars Win,"[""detroit-lions"",""jacksonville-jaguars""]",jalen,(missing),"Jacksonville Jaguars acquired 2025 3rd round pick (102nd overall subsequently traded, Tai Felton), 2026 3rd round pick (81st overall, Albert Regis) and 2026 3rd round pick (100th overall, Jalen Huskey) from Detroit Lions for 2025 3rd round pick (70th overall, Isaac TeSlaa), 2025 6th round pick (182nd overall subsequently traded, Andres Borregales) and 2026 6th round pick (213th overall subsequently traded, Jordan van den Berg). Jacksonville Jaguars received the stronger recorded football value, matching the Jacksonville Jaguars Win verdict."
5279,jalen-ramsey-jonnu-smith-miami-dolphins-2025,PIT-2025-0391,,Pittsburgh Steelers Win,"[""miami-dolphins"",""pittsburgh-steelers""]",jalen ramsey | ramsey | jonnu smith | minkah fitzpatrick | jalen,(missing),"Pittsburgh Steelers acquired Jalen Ramsey, Jonnu Smith and a 2027 7th round pick from Miami Dolphins for a 2027 5th round pick and Minkah Fitzpatrick. Pittsburgh Steelers received the stronger recorded football value, matching the Pittsburgh Steelers Win verdict."
5293,2026-5th-round-pick-141st-overall-subsequently-traded-kamari-ramsey-las-vegas-oa,CLE-2025-0471,,Even Trade,"[""cleveland-browns"",""las-vegas-raiders""]",ramsey,(missing),"Cleveland Browns acquired 2026 5th round pick (141st overall subsequently traded, Kamari Ramsey) from Las Vegas Raiders for Kenny Pickett. The available record does not show enough separation to call a clear long-term winner."
5326,tytus-howard-houston-texans-2026-477,CLE-2026-0477,,Cleveland Browns Win,"[""cleveland-browns"",""houston-texans""]",ramsey,(missing),"Cleveland Browns acquired Tytus Howard from Houston Texans for 2026 5th round pick (141st overall, Kamari Ramsey). Cleveland Browns received the stronger recorded football value, matching the Cleveland Browns Win verdict."
5335,minkah-fitzpatrick-miami-dolphins-2026,NYJ-2026-0324,,New York Jets Win,"[""miami-dolphins"",""new-york-jets""]",minkah fitzpatrick,(missing),"New York Jets acquired Minkah Fitzpatrick from Miami Dolphins for 2026 7th round pick (238th overall, Max Llewellyn). New York Jets received the stronger recorded football value, matching the New York Jets Win verdict."
