"ordinal","reviewClass","lane","id","team","slug","assetIndex","assetType","splitMode","reason","before","splitParts","existingPartMatches","projectedPartsToCreate","projectedNetAssetChange","warnings","originalRisks"
"11","manual","CDEL_manual_original_has_transaction_or_sentence_context","NYJ-1996-0159","new-york-jets","james-brown-to-dolphins-redskins-sent-1997-6th-round-pick-180th-overall-calvin-collins-and","0","pick","all","original text risks: transaction_verb_leak|post_parenthetical_route_language|word_glued_after_parenthetical|sentence_fragment_leak|team_route_language","James Brown to Dolphins. Redskins sent 1997 6th round pick (180th overall, Calvin Collins) and 1997 7th round pick (222nd overall, Chris Bayne) to Falcons. Dolphins sent 1997 5th round pick (145th overall, Raymond Austin)","James Brown to Dolphins. Redskins sent 1997 6th round pick (180th overall, Calvin Collins) || 1997 7th round pick (222nd overall, Chris Bayne) to Falcons. Dolphins sent 1997 5th round pick (145th overall, Raymond Austin)","","2","1","","transaction_verb_leak|post_parenthetical_route_language|word_glued_after_parenthetical|sentence_fragment_leak|team_route_language"
"12","manual","CDEL_manual_original_has_transaction_or_sentence_context","CHI-1996-0396","los-angeles-rams","1996-1st-round-pick-13th-overall-walt-harris-los-angeles-st-louis-rams","0","pick","all","original text risks: word_glued_after_parenthetical","1996 1st round pick (18th overall, Eddie Kennison), 1996 3rd round pick (83rd overall, Jerald Moore) and 1996 6th round pick (201st overall, Hayward Clay)","1996 1st round pick (18th overall, Eddie Kennison) || 1996 3rd round pick (83rd overall, Jerald Moore) || 1996 6th round pick (201st overall, Hayward Clay)","","3","2","","word_glued_after_parenthetical"
"13","manual","CDEL_manual_original_has_transaction_or_sentence_context","DEN-1996-04-20-0245","denver-broncos","1996-3rd-round-pick-65th-overall-detron-smith-1996-4th-round-pick-100th-overall-jeff-lewis","0","pick","all","original text risks: word_glued_after_parenthetical","1996 3rd round pick (65th overall, Detron Smith), 1996 4th round pick (100th overall, Jeff Lewis) and 1996 7th round pick (213th overall, Leslie Ratliffe)","1996 3rd round pick (65th overall, Detron Smith) || 1996 4th round pick (100th overall, Jeff Lewis) || 1996 7th round pick (213th overall, Leslie Ratliffe)","","3","2","","word_glued_after_parenthetical"
"14","manual","CDEL_manual_original_has_transaction_or_sentence_context","DEN-1996-04-20-0246","denver-broncos","1996-4th-round-pick-122nd-overall-darrius-johnson-1996-5th-round-pick-159th-overall-patric","0","pick","all","original text risks: word_glued_after_parenthetical|sentence_fragment_leak","1996 4th round pick (122nd overall, Darrius Johnson), 1996 5th round pick (159th overall, Patrick Jeffers) and 1996 7th round pick (235th overall, L.T. Levine)","1996 4th round pick (122nd overall, Darrius Johnson) || 1996 5th round pick (159th overall, Patrick Jeffers) || 1996 7th round pick (235th overall, L.T. Levine)","","3","2","","word_glued_after_parenthetical|sentence_fragment_leak"
"15","manual","CDEL_manual_original_has_transaction_or_sentence_context","DET-1996-0293","new-england-patriots","1996-3rd-round-pick-76th-overall-ryan-stewart-new-england-patriots-1996-04-20","0","pick","all","original text risks: word_glued_after_parenthetical","1996 3rd round pick (86th overall, Tedy Bruschi), 1996 4th round pick (119th overall, Chris Sullivan) and 1996 6th round pick (195th overall, Marrio Grier)","1996 3rd round pick (86th overall, Tedy Bruschi) || 1996 4th round pick (119th overall, Chris Sullivan) || 1996 6th round pick (195th overall, Marrio Grier)","","3","2","","word_glued_after_parenthetical"
"16","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1996-0159","miami-dolphins","1996-3rd-round-pick-79th-overall-jaguars-1996","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1996 3rd round pick (79th overall, Dorian Brew), 1996 4th round pick (98th overall subsequently traded, Donnie Edwards), 1996 5th round pick (134th overall, Jerris McPhail) and 1996 5th round pick (150th overall, Shane Burton)","1996 3rd round pick (79th overall, Dorian Brew) || 1996 4th round pick (98th overall subsequently traded, Donnie Edwards) || 1996 5th round pick (134th overall, Jerris McPhail) || 1996 5th round pick (150th overall, Shane Burton)","","4","3","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"17","manual","CDEL_manual_original_has_transaction_or_sentence_context","RAI-1996-0283","tennessee-titans","1996-1st-round-pick-9th-overall-houston-oilers-tennessee-titans-1996","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1996 1st round pick (17th overall subsequently traded, Reggie Brown), 1996 2nd round pick (48th overall, Jason Layman) and 1996 4th round pick (109th overall, Jon Runyan)","1996 1st round pick (17th overall subsequently traded, Reggie Brown) || 1996 2nd round pick (48th overall, Jason Layman) || 1996 4th round pick (109th overall, Jon Runyan)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"18","manual","CDEL_manual_original_has_transaction_or_sentence_context","RAI-1996-0284","new-england-patriots","1996-2nd-round-pick-57th-overall-new-england-patriots-1996","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1996 3rd round pick (76th overall subsequently traded, Ryan Stewart), 1996 4th round pick (124th overall, Kantroy Barber) and 1996 5th round pick (149th overall, Christian Peter)","1996 3rd round pick (76th overall subsequently traded, Ryan Stewart) || 1996 4th round pick (124th overall, Kantroy Barber) || 1996 5th round pick (149th overall, Christian Peter)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"19","manual","CDEL_manual_original_has_transaction_or_sentence_context","RAI-1997-0289","new-orleans-saints","1997-1st-round-pick-2nd-overall-new-orleans-saints-1997","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","Daryl Hobbs, 1997 1st round pick (10th overall, Chris Naeole), 1997 2nd round pick (39th overall, Jared Tomich) and 1997 4th round pick (107th overall subsequently traded, Pratt Lyons)","Daryl Hobbs || 1997 1st round pick (10th overall, Chris Naeole) || 1997 2nd round pick (39th overall, Jared Tomich) || 1997 4th round pick (107th overall subsequently traded, Pratt Lyons)","","4","3","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"20","manual","CDEL_manual_original_has_transaction_or_sentence_context","RAM-1997-0402","new-york-jets","1997-1st-round-pick-1st-overall-orlando-pace-new-york-jets-1997","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1997 1st round pick (6th overall subsequently traded, Walter Jones), 1997 3rd round pick (67th overall subsequently traded, Dan Neil), 1997 4th round pick (102nd overall, Terry Day) and 1997 7th round pick (207th overall subsequently traded, Koy Detmer)","1997 1st round pick (6th overall subsequently traded, Walter Jones) || 1997 3rd round pick (67th overall subsequently traded, Dan Neil) || 1997 4th round pick (102nd overall, Terry Day) || 1997 7th round pick (207th overall subsequently traded, Koy Detmer)","","4","3","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"21","manual","CDEL_manual_original_has_transaction_or_sentence_context","DAL-1997-0239","philadelphia-eagles","1997-1st-round-pick-philadelphia-eagles-1997","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1997 1st round pick (25th overall, Jon Harris), 1997 5th round pick (155th overall, Luther Broughton) and 1998 3rd round pick (70th overall subsequently traded, Brian Alford)","1997 1st round pick (25th overall, Jon Harris) || 1997 5th round pick (155th overall, Luther Broughton) || 1998 3rd round pick (70th overall subsequently traded, Brian Alford)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"22","manual","CDEL_manual_original_has_transaction_or_sentence_context","DEN-1997-04-19-0249","new-york-jets","1997-3rd-round-pick-67th-overall-dan-neil-new-york-jets-1997","0","pick","all","original text risks: word_glued_after_parenthetical","1997 3rd round pick (88th overall, Dedric Ward), 1997 6th round pick (191st overall, Chuck Clements), 1997 7th round pick (229th overall, Jason Ferguson) and 1998 6th round pick (183rd overall, Dustin Johnson)","1997 3rd round pick (88th overall, Dedric Ward) || 1997 6th round pick (191st overall, Chuck Clements) || 1997 7th round pick (229th overall, Jason Ferguson) || 1998 6th round pick (183rd overall, Dustin Johnson)","","4","3","","word_glued_after_parenthetical"
"23","manual","CDEL_manual_original_has_transaction_or_sentence_context","KC-1997-0190","tennessee-titans","1997-1st-round-pick-13th-overall-houston-oilers-1997","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1997 1st round pick (18th overall, Kenny Holmes), 1997 3rd round pick (81st overall, Scott Sanderson), 1997 4th round pick (116th overall subsequently traded, Keith Poole) and 1997 6th round pick (181st overall, Dennis Stallings)","1997 1st round pick (18th overall, Kenny Holmes) || 1997 3rd round pick (81st overall, Scott Sanderson) || 1997 4th round pick (116th overall subsequently traded, Keith Poole) || 1997 6th round pick (181st overall, Dennis Stallings)","","4","3","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"24","manual","CDEL_manual_original_has_transaction_or_sentence_context","SF-1997-0291","philadelphia-eagles","1997-3rd-round-pick-66th-overall-subsequently-traded-ronde-barber-philadelphia-eagles-1997","0","pick","all","original text risks: word_glued_after_parenthetical","1997 2nd round pick (57th overall, James Darling), 1997 6th round pick (190th overall, Antwuan Wyatt) and 1997 7th round pick (227th overall, DeAuntae Brown)","1997 2nd round pick (57th overall, James Darling) || 1997 6th round pick (190th overall, Antwuan Wyatt) || 1997 7th round pick (227th overall, DeAuntae Brown)","","3","2","","word_glued_after_parenthetical"
"25","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1997-0164","miami-dolphins","1997-4th-round-pick-121st-overall-rams-1997","0","pick","all","original text risks: word_glued_after_parenthetical","1997 4th round pick (121st overall, Jerome Daniels), 1997 6th round pick (170th overall, Brian Manning) and 1997 6th round pick (173rd overall, Mike Crawford)","1997 4th round pick (121st overall, Jerome Daniels) || 1997 6th round pick (170th overall, Brian Manning) || 1997 6th round pick (173rd overall, Mike Crawford)","","3","2","","word_glued_after_parenthetical"
"26","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1997-0165","miami-dolphins","1997-5th-round-pick-157th-overall-raiders-1997","0","pick","all","original text risks: word_glued_after_parenthetical","1997 5th round pick (157th overall, Nicholas Lopez), 1997 6th round pick (166th overall, John Fiala) and 1997 7th round pick (203rd overall, Hudhaifa Ismaeli)","1997 5th round pick (157th overall, Nicholas Lopez) || 1997 6th round pick (166th overall, John Fiala) || 1997 7th round pick (203rd overall, Hudhaifa Ismaeli)","","3","2","","word_glued_after_parenthetical"
"27","manual","CDEL_manual_original_has_transaction_or_sentence_context","LAC-1998-0323","arizona-cardinals","1998-1st-round-pick-2nd-overall-ryan-leaf-arizonast-louis-cardinals-1998","0","pick","all","original text risks: word_glued_after_parenthetical","Eric Metcalf, Patrick Sapp, 1998 1st round pick (3rd overall, Andre Wadsworth), 1998 2nd round pick (33rd overall, Corey Chavous) and 1999 1st round pick (8th overall, David Boston)","Eric Metcalf || Patrick Sapp || 1998 1st round pick (3rd overall, Andre Wadsworth) || 1998 2nd round pick (33rd overall, Corey Chavous) || 1999 1st round pick (8th overall, David Boston)","","5","4","","word_glued_after_parenthetical"
"28","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1998-0168","miami-dolphins","1998-3rd-round-pick-79th-overall-lions-1998","0","pick","all","original text risks: word_glued_after_parenthetical","1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton)","1998 3rd round pick (79th overall, Brad Jackson) || 1998 5th round pick (143rd overall, Scott Shaw) || 1998 6th round pick (172nd overall, John Dutton)","","3","2","","word_glued_after_parenthetical"
"29","manual","CDEL_manual_original_has_transaction_or_sentence_context","PIT-1998-0316","atlanta-falcons","1998-5th-round-pick-137th-overall-jason-simmons-atlanta-falcons-1998","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1998 7th round pick (199th overall, Ephraim Salaam), 1998 7th round pick (203rd overall, Henry Slay) and 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell)","1998 7th round pick (199th overall, Ephraim Salaam) || 1998 7th round pick (203rd overall, Henry Slay) || 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell)","1998 7th round pick (199th overall, Ephraim Salaam) => [1] 1998 7th round pick (199th overall, Ephraim Salaam) || 1998 7th round pick (203rd overall, Henry Slay) => [2] 1998 7th round pick (203rd overall, Henry Slay) || 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell) => [3] 1998 7th round pick (215th overall subsequently traded, Ryan Thelwell)","0","-1","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"30","manual","CDEL_manual_original_has_transaction_or_sentence_context","PIT-1998-0317","new-york-jets","1998-2nd-round-pick-41st-overall-jeremy-staat-new-york-jets-1998","0","pick","all","original text risks: word_glued_after_parenthetical","1998 2nd round pick (56th overall, Dorian Boose), 1998 3rd round pick (87th overall, Kevin Williams) and 1998 5th round pick (149th overall, Eric Bateman)","1998 2nd round pick (56th overall, Dorian Boose) || 1998 3rd round pick (87th overall, Kevin Williams) || 1998 5th round pick (149th overall, Eric Bateman)","","3","2","","word_glued_after_parenthetical"
"31","manual","CDEL_manual_original_has_transaction_or_sentence_context","IND-1998-0293","baltimore-ravens","1998-4th-round-pick-93rd-overall-steve-mckinney-baltimore-ravens-1998","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1998 4th round pick (104th overall subsequently traded, Todd Washington), 1998 5th round pick (124th overall, Martin Chase) and 1998 6th round pick (154th overall, Ron Rogers)","1998 4th round pick (104th overall subsequently traded, Todd Washington) || 1998 5th round pick (124th overall, Martin Chase) || 1998 6th round pick (154th overall, Ron Rogers)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"32","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1999-0173","miami-dolphins","1999-2nd-round-pick-39th-overall-lions-1999","0","pick","all","original text risks: word_glued_after_parenthetical|sentence_fragment_leak","1999 2nd round pick (39th overall, J.J. Johnson), 1999 3rd round pick (72nd overall, Grey Ruegamer) and 1999 5th round pick (142nd overall, Bryan Jones)","1999 2nd round pick (39th overall, J.J. Johnson) || 1999 3rd round pick (72nd overall, Grey Ruegamer) || 1999 5th round pick (142nd overall, Bryan Jones)","","3","2","","word_glued_after_parenthetical|sentence_fragment_leak"
"33","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIA-1999-0175","kansas-city-chiefs","1999-2nd-round-pick-43rd-overall-chiefs-1999","0","pick","all","original text risks: word_glued_after_parenthetical","1999 2nd round pick (54th overall, Mike Cloud), 1999 3rd round pick (84th overall, Larry Atkins) and 2000 6th round pick (188th overall, Darnell Alford)","1999 2nd round pick (54th overall, Mike Cloud) || 1999 3rd round pick (84th overall, Larry Atkins) || 2000 6th round pick (188th overall, Darnell Alford)","","3","2","","word_glued_after_parenthetical"
"34","manual","CDEL_manual_original_has_transaction_or_sentence_context","MIN-1999-04-17-0195","pittsburgh-steelers","draft-pick-trade-pittsburgh-steelers-1999","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1999 2nd round pick (59th overall, Scott Shields), 1999 3rd round pick (73rd overall, Joey Porter) and 1999 5th round pick (163rd overall subsequently traded, Craig Heimburger)","1999 2nd round pick (59th overall, Scott Shields) || 1999 3rd round pick (73rd overall, Joey Porter) || 1999 5th round pick (163rd overall subsequently traded, Craig Heimburger)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"35","manual","CDEL_manual_original_has_transaction_or_sentence_context","RAI-1999-0297","chicago-bears","1999-2nd-round-pick-40th-overall-chicago-bears-1999","0","pick","all","original text risks: word_glued_after_parenthetical","1999 2nd round pick (48th overall, Russell Davis), 1999 3rd round pick (78th overall, Marty Booker) and 1999 4th round pick (111th overall, Rosevelt Colvin)","1999 2nd round pick (48th overall, Russell Davis) || 1999 3rd round pick (78th overall, Marty Booker) || 1999 4th round pick (111th overall, Rosevelt Colvin)","","3","2","","word_glued_after_parenthetical"
"36","manual","CDEL_manual_original_has_transaction_or_sentence_context","SEA-1999-04-17-0103","seattle-seahawks","1999-1st-round-pick-20th-overall-subsequently-tra-new-england-patriots-1999","3","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1999 1st round pick (20th overall subsequently traded, Ebenezer Ekuban), 1999 3rd round pick (82nd overall, Karsten Bailey) and 1999 6th round pick (191st overall subsequently traded, James Dearth)","1999 1st round pick (20th overall subsequently traded, Ebenezer Ekuban) || 1999 3rd round pick (82nd overall, Karsten Bailey) || 1999 6th round pick (191st overall subsequently traded, James Dearth)","1999 1st round pick (20th overall subsequently traded, Ebenezer Ekuban) => [0] 1999 1st round pick (20th overall subsequently traded, Ebenezer Ekuban) || 1999 3rd round pick (82nd overall, Karsten Bailey) => [1] 1999 3rd round pick (82nd overall, Karsten Bailey) || 1999 6th round pick (191st overall subsequently traded, James Dearth) => [2] 1999 6th round pick (191st overall subsequently traded, James Dearth)","0","-1","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"37","manual","CDEL_manual_original_has_transaction_or_sentence_context","WAS-1999-0353","washington-commanders","1999-1st-round-pick-12th-overall-subsequently-traded-cade-mcnown-1999-3rd-round-pick-71st","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","1999 1st round pick (12th overall subsequently traded, Cade McNown), 1999 3rd round pick (71st overall subsequently traded, D'Wayne Bates), 1999 4th round pick (107th overall, Nate Stimson), 1999 5th round pick (144th overall subsequently traded, Khari Samuel), 1999 6th round pick (179th overall subsequently traded, Desmond Clark), 1999 7th round pick (218th overall subsequently traded, Billy Miller), 2000 1st round pick (2nd overall, LaVar Arrington) and 2000 3rd round pick (64th overall, Lloyd Harrison)","1999 1st round pick (12th overall subsequently traded, Cade McNown) || 1999 3rd round pick (71st overall subsequently traded, D'Wayne Bates) || 1999 4th round pick (107th overall, Nate Stimson) || 1999 5th round pick (144th overall subsequently traded, Khari Samuel) || 1999 6th round pick (179th overall subsequently traded, Desmond Clark) || 1999 7th round pick (218th overall subsequently traded, Billy Miller) || 2000 1st round pick (2nd overall, LaVar Arrington) || 2000 3rd round pick (64th overall, Lloyd Harrison)","","8","7","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"38","manual","CDEL_manual_original_has_transaction_or_sentence_context","WAS-1999-0354","chicago-bears","1999-1st-round-pick-7th-overall-champ-bailey-chicago-bears-1999","0","pick","all","original text risks: word_glued_after_parenthetical","1999 1st round pick (12th overall, Cade McNown), 1999 3rd round pick (71st overall, D'Wayne Bates), 1999 4th round pick (106th overall, Warrick Holdman), 1999 5th round pick (143rd overall, Jerry Wisne) and 2000 3rd round pick (87th overall, Dustin Lyman)","1999 1st round pick (12th overall, Cade McNown) || 1999 3rd round pick (71st overall, D'Wayne Bates) || 1999 4th round pick (106th overall, Warrick Holdman) || 1999 5th round pick (143rd overall, Jerry Wisne) || 2000 3rd round pick (87th overall, Dustin Lyman)","","5","4","","word_glued_after_parenthetical"
"39","manual","CDEL_manual_original_has_transaction_or_sentence_context","SF-2000-0307","san-francisco-49ers","2000-1st-round-pick-12th-overall-subsequently-traded-shaun-ellis-2-washington-redskins-com","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","2000 1st round pick (12th overall subsequently traded, Shaun Ellis), 2000 1st round pick (24th overall, Ahmed Plummer), 2000 4th round pick (119th overall subsequently traded, Isaiah Kacyvenski) and 2000 5th round pick (154th overall subsequently traded, Muneer Moore)","2000 1st round pick (12th overall subsequently traded, Shaun Ellis) || 2000 1st round pick (24th overall, Ahmed Plummer) || 2000 4th round pick (119th overall subsequently traded, Isaiah Kacyvenski) || 2000 5th round pick (154th overall subsequently traded, Muneer Moore)","","4","3","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"40","manual","CDEL_manual_original_has_transaction_or_sentence_context","CHI-2000-0413","chicago-bears","2000-4th-round-pick-125th-overall-reggie-austin-2000-5th-round-pick-15","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","2000 4th round pick (125th overall, Reggie Austin), 2000 5th round pick (150th overall subsequently traded, John Milem) and 2000 7th round pick (225th overall subsequently traded, Rashidi Barnes)","2000 4th round pick (125th overall, Reggie Austin) || 2000 5th round pick (150th overall subsequently traded, John Milem) || 2000 7th round pick (225th overall subsequently traded, Rashidi Barnes)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"41","manual","CDEL_manual_original_has_transaction_or_sentence_context","CLE-2000-0319","chicago-bears","2000-7th-round-pick-209th-overall-eric-chandler-and-2000-7th-round-pick-225th-ov","0","pick","all","original text risks: explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical","2000 7th round pick (223rd overall, James Cotton), 2000 7th round pick (232nd overall subsequently traded, Jeff Harris) and 2000 7th round pick (254th overall, Michael Green)","2000 7th round pick (223rd overall, James Cotton) || 2000 7th round pick (232nd overall subsequently traded, Jeff Harris) || 2000 7th round pick (254th overall, Michael Green)","","3","2","","explanatory_or_contingent|transaction_verb_leak|word_glued_after_parenthetical"
"42","manual","CDEL_manual_original_has_transaction_or_sentence_context","NYG-2001-0257","indianapolis-colts","2001-1st-round-pick-22nd-overall-will-allen-indianapolis-baltimore-colts-2001","0","pick","all","original text risks: word_glued_after_parenthetical","2001 1st round pick (30th overall, Reggie Wayne), 2001 3rd round pick (91st overall, Cory Bird) and 2001 6th round pick (193rd overall, Jason Doering)","2001 1st round pick (30th overall, Reggie Wayne) || 2001 3rd round pick (91st overall, Cory Bird) || 2001 6th round pick (193rd overall, Jason Doering)","","3","2","","word_glued_after_parenthetical"
