"classification","id","slug","title","fieldPath","protectedContext","matches","snippets","value"
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","perspectives.[0].partnerSummary","true","Batch","nie Holliday) and gave up 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch). The overall return favors Miami Dolphins.","Green Bay Packers received 1998 1st round pick (19th overall, Vonnie Holliday) and gave up 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch). The overall return favors Miami Dolphins."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","perspectives.[1].primarySummary","true","Batch",") from Miami Dolphins for 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch). The overall result favors Miami Dolphins over Green Bay Packers.","Green Bay Packers acquired 1998 1st round pick (19th overall, Vonnie Holliday) from Miami Dolphins for 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch). The overall result favors Miami Dolphins over Green Bay Packers."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0167","1998-1st-round-pick-29th-overall-packers-1998","","perspectives.[1].partnerSummary","true","Batch","Miami Dolphins received 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch) and gave up 1998 1st round pick (19th overall, Vonnie Holliday). The overall return favors Miami Dolphins.","Miami Dolphins received 1998 1st round pick (29th overall, John Avery) and 1998 2nd round pick (60th overall subsequently traded, Charlie Batch) and gave up 1998 1st round pick (19th overall, Vonnie Holliday). The overall return favors Miami Dolphins."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","assetsReceived.detroit-lions.[0].asset","true","Batch","1998 2nd round pick (60th overall, Charlie Batch)","1998 2nd round pick (60th overall, Charlie Batch)"
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","summary","true","Batch","overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton) from Detroit Lions for 1998 2nd round pick (60th overall, Charlie Batch). The overall result favors Detroit Lions over Miami Dolphins.","Miami Dolphins acquired 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton) from Detroit Lions for 1998 2nd round pick (60th overall, Charlie Batch). The overall result favors Detroit Lions over Miami Dolphins."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","partnerSummary","true","Batch","Detroit Lions received 1998 2nd round pick (60th overall, Charlie Batch) and gave up 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick","Detroit Lions received 1998 2nd round pick (60th overall, Charlie Batch) and gave up 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton). The overall return favors Detroit Lions."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","perspectives.[0].primarySummary","true","Batch","overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton) from Detroit Lions for 1998 2nd round pick (60th overall, Charlie Batch). The overall result favors Detroit Lions over Miami Dolphins.","Miami Dolphins acquired 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton) from Detroit Lions for 1998 2nd round pick (60th overall, Charlie Batch). The overall result favors Detroit Lions over Miami Dolphins."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","perspectives.[0].partnerSummary","true","Batch","Detroit Lions received 1998 2nd round pick (60th overall, Charlie Batch) and gave up 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick","Detroit Lions received 1998 2nd round pick (60th overall, Charlie Batch) and gave up 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton). The overall return favors Detroit Lions."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","perspectives.[1].primarySummary","true","Batch","Detroit Lions acquired 1998 2nd round pick (60th overall, Charlie Batch) from Miami Dolphins for 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6t","Detroit Lions acquired 1998 2nd round pick (60th overall, Charlie Batch) from Miami Dolphins for 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton). Detroit Lions received the stronger recorded football value, matching the Detroit Lions Win verdict."
"mixed_protected_name_plus_possible_artifact","MIA-1998-0168","1998-3rd-round-pick-79th-overall-lions-1998","","perspectives.[1].partnerSummary","true","Batch","ick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton) and gave up 1998 2nd round pick (60th overall, Charlie Batch). The overall return favors Detroit Lions.","Miami Dolphins received 1998 3rd round pick (79th overall, Brad Jackson), 1998 5th round pick (143rd overall, Scott Shaw) and 1998 6th round pick (172nd overall, John Dutton) and gave up 1998 2nd round pick (60th overall, Charlie Batch). The overall return favors Detroit Lions."
"cleanup_artifact_candidate","SEA-2000-04-16-0112","2001-6th-round-pick-191st-overall-subsequently-tr-las-vegas-raiders-2000","","perspectives.[0].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","SEA-2000-04-16-0112","2001-6th-round-pick-191st-overall-subsequently-tr-las-vegas-raiders-2000","","perspectives.[1].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","SEA-2000-04-16-0112","2001-6th-round-pick-191st-overall-subsequently-tr-las-vegas-raiders-2000","","qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","CAR-2004-0025","panthers-san-francisco-49ers-trade-2004-0025","","qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","CAR-2004-0025","panthers-san-francisco-49ers-trade-2004-0025","","perspectives.[0].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","CAR-2004-0025","panthers-san-francisco-49ers-trade-2004-0025","","perspectives.[1].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","PHI-2014-0372","eagles-2014-05-09-cleveland-browns-0372","","qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","PHI-2014-0372","eagles-2014-05-09-cleveland-browns-0372","","perspectives.[0].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","PHI-2014-0372","eagles-2014-05-09-cleveland-browns-0372","","perspectives.[1].qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
"cleanup_artifact_candidate","PIT-2024-0387","preston-smith-green-bay-packers-2024","","qaNotes","false","batch","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose.","Post-batch Vilma-only re-audit cleanup reconciled verdict, grades, and public prose."
