activeBucket,refinedBucket,issue,slug,field,topVerdict,teamGrades,activeVerdict,activeTeamGrades,reason,flagSnippet,activeFieldText
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2000-7th-round-pick-208th-overall-new-orleans-saints-2000,summary,New Orleans Saints Win,kansas-city-chiefs:C | new-orleans-saints:B,New Orleans Saints Win,kansas-city-chiefs:C+ | new-orleans-saints:B-,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Kansas City acquired 2000 7th round pick (208th overall, Desmond Kitchings) from New Orleans Saints for 2000 7th round pick (228th overall, Kevin Houser). The transaction profiles as roster maintenance more than a swing trade; the known pieces do not show enou","Kansas City Chiefs acquired 2000 7th round pick (208th overall, Desmond Kitchings) from New Orleans Saints for 2000 7th round pick (228th overall, Kevin Houser). The overall result favors New Orleans Saints over Kansas City Chiefs."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2002-3rd-round-pick-89th-overall-washington-redskins-commanders-2002,summary,Jacksonville Jaguars Win,jacksonville-jaguars:C | washington-redskins-commanders:C,Jacksonville Jaguars Win,jacksonville-jaguars:C+ | washington-commanders:C,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Jacksonville traded down 10 spots in the 3rd round (79th to 89th) and added a 4th-round pick, landing Akin Ayodele (89th) and Chris Luzar (118th). Moving down 10 spots in the 3rd round and picking up a 4th is a reasonable value capture. Ayodele became a useful","Jacksonville traded down 10 spots in the 3rd round (79th to 89th) and added a 4th-round pick, landing Akin Ayodele (89th) and Chris Luzar (118th). Moving down 10 spots in the 3rd round and picking up a 4th is a reasonable value capture. Ayodele became a useful starting linebacker; Luzar did not stick. Jacksonville extracted a pick while still getting a playable player. This is a minor Jacksonville lean and supports the Jaguars Win label"
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2003-6th-round-pick-176th-overall-chicago-bears-2003,summary,Jacksonville Jaguars Win,jacksonville-jaguars:B | chicago-bears:C,Jacksonville Jaguars Win,jacksonville-jaguars:B | chicago-bears:C,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Jacksonville traded the 143rd pick (Justin Gage) to Chicago and received three late picks: 176th (Brandon Green), 193rd (Marques Ogden), 218th (Malaefou MacKenzie). Jacksonville gave up one 5th-round pick and received three picks in rounds 6-7. On pure pick-va","Jacksonville Jaguars acquired 2003 6th round pick (176th overall, Brandon Green), 2003 6th round pick (193rd overall, Marques Ogden) and 2003 7th round pick (218th overall, Malaefou MacKenzie) from Chicago Bears for 2003 5th round pick (143rd overall, Justin Gage). Jacksonville Jaguars received the stronger recorded football value, matching the Jacksonville Jaguars Win verdict."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2006-7th-round-pick-213th-overall-san-francisco-49ers-2006,summary,Jacksonville Jaguars Win,jacksonville-jaguars:C | san-francisco-49ers:C,Jacksonville Jaguars Win,jacksonville-jaguars:C+ | san-francisco-49ers:C-,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Jacksonville traded a 6th-round pick to San Francisco for two 7th-round picks, taking James Wyche and Dee Webb. This was a small draft-board reshuffle with limited long-term impact. Jacksonville gained two swings instead of one, but neither side extracted enou","Jacksonville traded a 6th-round pick to San Francisco for two 7th-round picks, taking James Wyche and Dee Webb. This was a small draft-board reshuffle with limited long-term impact. Jacksonville gained two swings instead of one, and that extra volume gives the Jaguars the narrow edge."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2013-2nd-round-pick-40th-overall-tank-carradine-2013-7th-round-pic-tennessee-titans-2013,summary,San Francisco 49ers Win,san-francisco-49ers:C | tennessee-titans:C,San Francisco 49ers Win,san-francisco-49ers:C+ | tennessee-titans:C,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"San Francisco moved down in the 2013 second round and received Tank Carradine plus late-round value, while Tennessee moved up for Justin Hunter. Neither side produced a major win, but San Francisco's package gets the slight edge.","San Francisco moved down in the 2013 second round and received Tank Carradine plus late-round value, while Tennessee moved up for Justin Hunter. Neither side produced a major win, but San Francisco's package gets the slight edge."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2018-4th-round-pick-123rd-overall-browns-2018,summary,Cleveland Browns Win,miami-dolphins:C | cleveland-browns:B,Cleveland Browns Win,miami-dolphins:C+ | cleveland-browns:B,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired 2018 4th round pick (123rd overall, Durham Smythe) and 2019 7th round pick (234th overall, Myles Gaskin) from Browns for Jarvis Landry. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wa","Miami Dolphins acquired 2018 4th round pick (123rd overall, Durham Smythe) and 2019 7th round pick (234th overall, Myles Gaskin) from Cleveland Browns for Jarvis Landry. The overall result favors Cleveland Browns over Miami Dolphins."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2019-1st-round-pick-29th-overall-l-j-collier-kansas-city-chiefs-2019,partnerSummary,Kansas City Chiefs Win,seattle-seahawks:C | kansas-city-chiefs:B,Kansas City Chiefs Win,seattle-seahawks:C | kansas-city-chiefs:B,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,Kansas City paid heavily but landed a playoff-impact pass rusher who helped its Super Bowl push.,"Kansas City Chiefs received Frank Clark; 2019 3rd round pick (84th overall, Khalen Saunders) and gave up 2019 1st round pick (29th overall, L.J. Collier), 2019 3rd round pick (92nd overall subsequently traded, Chuma Edoga); 2020 2nd round pick (64th overall subsequently traded, Jeremy Chinn). The overall return favors Kansas City Chiefs."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2020-3rd-round-pick-95th-overall-mctelvin-agim-and-2020-4th-round-pick-137th-overall-subse,summary,San Francisco 49ers Win,denver-broncos:B | san-francisco-49ers:B,San Francisco 49ers Win,denver-broncos:B- | san-francisco-49ers:B,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,Denver traded Emmanuel Sanders and a fifth-round pick to San Francisco for third- and fourth-round picks. The Broncos did well to get Day 2/early Day 3 capital for a veteran receiver in a reset year. San Francisco also benefited from Sanders' immediate role in,"Denver received third- and fourth-round draft capital for Emmanuel Sanders, while San Francisco added Sanders and a fifth-round pick for a Super Bowl push. The 49ers' immediate return gives them the narrow edge."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,2022-1st-round-pick-27th-overall-tampa-bay-buccaneers-2022,summary,Tampa Bay Buccaneers Win,jacksonville-jaguars:C | tampa-bay-buccaneers:B,Tampa Bay Buccaneers Win,jacksonville-jaguars:C+ | tampa-bay-buccaneers:B-,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Jacksonville traded back into Round 1 (from 33rd to 27th overall) to select LB Devin Lloyd, sending Tampa Bay a 2nd (Logan Hall, 33rd), 4th (Cade Otton, 106th), and 6th. Lloyd became a useful starting linebacker but not a dominant force. The package sent — a 2","Jacksonville traded back into Round 1 (from 33rd to 27th overall) to select LB Devin Lloyd, sending Tampa Bay a 2nd (Logan Hall, 33rd), 4th (Cade Otton, 106th), and 6th. Lloyd became a useful starting linebacker but not a dominant force. Tampa Bay received Logan Hall and Cade Otton, both of whom became starters, giving the Buccaneers the slightly stronger return."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,don-nottingham-colts-1973,summary,Miami Dolphins Win,miami-dolphins:B | indianapolis-colts:C,Miami Dolphins Win,miami-dolphins:B | indianapolis-colts:C+,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,Miami acquired Don Nottingham; 1974 sixth round pick (#136-Randy Crowder) from Colts for Hubert Ginn / Hubie Ginn. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still,"Miami acquired Don Nottingham; 1974 sixth round pick (#136-Randy Crowder) from Colts for Hubert Ginn / Hubie Ginn. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks or cash terms, and whether the traded asset produced meaningful on-field value after the move"
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,gerald-lusteg-booth-lusteg-jets-1967,summary,Miami Dolphins Win,new-york-jets:C | miami-dolphins:B,Miami Dolphins Win,new-york-jets:C+ | miami-dolphins:B-,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Gerald Lusteg / Booth Lusteg from Jets for cash. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional","Miami acquired Gerald Lusteg / Booth Lusteg from Jets for cash. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks or cash terms, and whether the traded asset produced meaningful on-field value after the move"
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,marcell-dareus-buffalo-bills-2017,summary,Buffalo Bills Win,jacksonville-jaguars:C | buffalo-bills:B,Buffalo Bills Win,jacksonville-jaguars:C | buffalo-bills:B,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Jacksonville acquired Marcell Dareus from Buffalo for a 2018 fifth-round pick that eventually became Wyatt Teller. Dareus helped the Jaguars' short-term playoff push, but Buffalo cleared a large contract and moved a declining veteran for a pick that produced m","Jacksonville acquired Marcell Dareus from Buffalo for a 2018 fifth-round pick that eventually became Wyatt Teller. Dareus helped the Jaguars' short-term playoff push, but Buffalo cleared a large contract and moved a declining veteran for a pick that produced meaningful downstream value. The Bills get the hindsight edge."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,matthew-stafford-detroit-lions-2021,analysis,Detroit Lions Win,detroit-lions:A | los-angeles-rams:A,Detroit Lions Win,detroit-lions:A+ | los-angeles-rams:A,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Why the Rams Made the Trade Los Angeles believed it had a championship roster that needed a quarterback upgrade. Matthew Stafford gave the Rams more arm talent, more late-game confidence, and a better chance to maximize Sean McVay's offense immediately. The Ra","Why the Rams Made the Trade Los Angeles believed it had a championship roster that needed a quarterback upgrade. Matthew Stafford gave the Rams more arm talent, more late-game confidence, and a better chance to maximize Sean McVay's offense immediately. The Rams were not trying to win a slow rebuild. They were trying to win right away. That makes the price easier to understand. When a team believes its roster is already good enough to contend, paying future value for the right quarterback can be rational. What D..."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,norm-bulaich-eagles-1975,summary,Miami Dolphins Win,philadelphia-eagles:C | miami-dolphins:C,Philadelphia Eagles Win,philadelphia-eagles:C+ | miami-dolphins:C,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Norm Bulaich from Eagles for 1976 fourth round pick (#111-Mike Smith (c)). The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role,","Miami acquired Norm Bulaich from Eagles for 1976 fourth round pick (#111-Mike Smith (c)). The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks or cash terms, and whether the traded asset produced meaningful on-field value after the move"
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,ralph-ortega-falcons-1979,summary,Atlanta Falcons Win,miami-dolphins:C | atlanta-falcons:B,Atlanta Falcons Win,miami-dolphins:C | atlanta-falcons:B-,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Ralph Ortega from Falcons for 1979 third round pick (#79-William Andrews (b)). The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, ro","Miami acquired Ralph Ortega from Falcons for 1979 third round pick (#79-William Andrews (b)). The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks or cash terms, and whether the traded asset produced meaningful on-field value after the move"
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,regan-upshaw-tampa-bay-buccaneers-1999,summary,Tampa Bay Buccaneers Win,jacksonville-jaguars:C | tampa-bay-buccaneers:B,Jacksonville Jaguars Win,jacksonville-jaguars:B- | tampa-bay-buccaneers:C+,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,Jacksonville acquired DE Regan Upshaw from Tampa Bay for a 2001 6th-round pick. Upshaw was a situational pass rusher with starting experience coming off solid Tampa Bay years. Getting a proven edge player in his prime for a late 6th-round pick is a slight Jagu,Jacksonville acquired DE Regan Upshaw from Tampa Bay for a 2001 6th-round pick. Upshaw was a situational pass rusher with starting experience coming off solid Tampa Bay years. Getting a proven edge player in his prime for a late 6th-round pick supports a slight Jaguars Win label. Upshaw contributed meaningfully in Jacksonville's defensive rotation during their late-1990s contention window
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,sammy-grezaffi-chiefs-1968,summary,Miami Dolphins Win,miami-dolphins:B | kansas-city-chiefs:C,Miami Dolphins Win,miami-dolphins:B- | kansas-city-chiefs:C+,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Sammy Grezaffi from Chiefs for cash. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks or ca","Miami acquired Sammy Grezaffi from Chiefs for cash. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks or cash terms, and whether the traded asset produced meaningful on-field value after the move"
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,scott-secules-cowboys-1989,summary,Dallas Cowboys Win,miami-dolphins:C | dallas-cowboys:B,Dallas Cowboys Win,miami-dolphins:C+ | dallas-cowboys:B,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Scott Secules from Cowboys for 1990 fifth round pick (#120-James Gray). The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, unc",Miami Dolphins acquired Scott Secules from Dallas Cowboys for 1990 fifth round pick (#120-James Gray). The overall result favors Dallas Cowboys over Miami Dolphins.
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,troy-drayton-rams-1996,summary,Miami Dolphins Win,miami-dolphins:B | los-angeles-rams:C,Miami Dolphins Win,miami-dolphins:B- | los-angeles-rams:C+,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Troy Drayton from Rams for Billy Milner. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks o","Miami Dolphins acquired Troy Drayton from Los Angeles Rams for Billy Milner. Miami Dolphins received the stronger recorded football value, matching the Miami Dolphins Win verdict."
likely-stale-or-resolved-in-active-file,manual-team-win-vs-even-review,VERDICT_SAYS_TEAM_WIN_TEXT_SAYS_EVEN,vince-biegel-saints-2019,summary,New Orleans Saints Win,miami-dolphins:C | new-orleans-saints:B,New Orleans Saints Win,miami-dolphins:C+ | new-orleans-saints:B-,Active trade no longer contains obvious even/no-clear-winner language in the flagged field.,"Miami acquired Vince Biegel from Saints for Kiko Alonso. The player or pick Miami received produced enough identifiable usefulness to separate the deal from a true wash on second review. The grade still accounts for era, role, uncertainty in conditional picks",Miami Dolphins acquired Vince Biegel from New Orleans Saints for Kiko Alonso. The overall result favors New Orleans Saints over Miami Dolphins.
